iter	Passed	Remaining
0	101	101652
1	205	102716
2	307	102234
3	413	102848
4	514	102482
5	616	102101
6	718	101913
7	817	101374
8	919	101273
9	1018	100877
10	1124	101057
11	1220	100513
12	1319	100179
13	1421	100109
14	1531	100548
15	1632	100419
16	1733	100235
17	1835	100138
18	1933	99817
19	2029	99467
20	2130	99305
21	2228	99087
22	2324	98748
23	2416	98290
24	2517	98191
25	2610	97807
26	2710	97675
27	2814	97703
28	2914	97574
29	3016	97524
30	3119	97521
31	3218	97359
32	3317	97213
33	3418	97112
34	3513	96879
35	3613	96762
36	3715	96715
37	3817	96648
38	3924	96691
39	4024	96591
40	4122	96423
41	4224	96355
42	4375	97379
43	4478	97295
44	4582	97246
45	4683	97139
46	4786	97051
47	4880	96799
48	4981	96680
49	5083	96587
50	5192	96615
51	5295	96534
52	5402	96534
53	5506	96469
54	5610	96392
55	5713	96310
56	5814	96200
57	5920	96164
58	6026	96109
59	6130	96040
60	6228	95884
61	6326	95713
62	6429	95619
63	6534	95566
64	6637	95483
65	6743	95425
66	6849	95377
67	6948	95235
68	7053	95171
69	7150	94993
70	7246	94811
71	7344	94662
72	7444	94538
73	7541	94371
74	7644	94278
75	7742	94135
76	7838	93960
77	7938	93835
78	8036	93691
79	8136	93571
80	8236	93445
81	8348	93459
82	8458	93451
83	8567	93425
84	8679	93432
85	8788	93404
86	8893	93328
87	9020	93482
88	9129	93447
89	9229	93319
90	9338	93284
91	9439	93166
92	9552	93158
93	9670	93203
94	9775	93129
95	9895	93180
96	10014	93230
97	10125	93194
98	10234	93140
99	10342	93085
100	10448	93006
101	10551	92898
102	10663	92866
103	10787	92941
104	10913	93021
105	11027	93006
106	11141	92987
107	11249	92915
108	11354	92816
109	11472	92824
110	11579	92743
111	11694	92717
112	11798	92613
113	11915	92608
114	12027	92555
115	12128	92426
116	12230	92301
117	12332	92177
118	12430	92027
119	12549	92030
120	12667	92021
121	12762	91850
122	12866	91737
123	12958	91546
124	13060	91426
125	13161	91296
